window_id,day,clock_time,entity,stream_type,video_path,frame_path,relevance_level,visible_cues,notes,needs_manual_review
DAY4_120500000,DAY4,12:06:00.000,Klaus,ego,main/day4/Klaus/video/12.mp4,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Klaus_120600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY4_120500000,DAY4,12:06:00.000,Luca,ego,main/day4/Luca/video/12.mp4,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Luca_120600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY4_120500000,DAY4,12:06:00.000,Onanong,ego,main/day4/Onanong/video/12.mp4,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Onanong_120600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY4_120500000,DAY4,12:06:00.000,Stevan,ego,main/day4/Stevan/video/12.mp4,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Stevan_120600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY4_120500000,DAY4,12:06:00.000,Werner,ego,main/day4/Werner/video/12.mp4,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Werner_120600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY4_120500000,DAY4,12:06:00.000,Kitchen,static,main/day4/Kitchen/video/12.mp4,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Kitchen_120600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY4_120500000,DAY4,12:06:00.000,Living1,static,main/day4/Living1/video/12.mp4,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Living1_120600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY4_120500000,DAY4,12:06:00.000,Living2,static,main/day4/Living2/video/12.mp4,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Living2_120600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY4_120500000,DAY4,12:06:00.000,Meeting,static,main/day4/Meeting/video/12.mp4,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Meeting_120600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY4_120500000,DAY4,12:06:00.000,Reading,static,main/day4/Reading/video/12.mp4,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Reading_120600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY3_174500000,DAY3,17:46:00.000,Allie,ego,main/day3/Allie/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Allie_174600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY3_174500000,DAY3,17:46:00.000,Bjorn,ego,main/day3/Bjorn/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Bjorn_174600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY3_174500000,DAY3,17:46:00.000,Cathal,ego,main/day3/Cathal/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Cathal_174600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY3_174500000,DAY3,17:46:00.000,Florian,ego,main/day3/Florian/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Florian_174600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY3_174500000,DAY3,17:46:00.000,Klaus,ego,main/day3/Klaus/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Klaus_174600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY3_174500000,DAY3,17:46:00.000,Luca,ego,main/day3/Luca/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Luca_174600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY3_174500000,DAY3,17:46:00.000,Onanong,ego,main/day3/Onanong/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Onanong_174600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY3_174500000,DAY3,17:46:00.000,Stevan,ego,main/day3/Stevan/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Stevan_174600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY3_174500000,DAY3,17:46:00.000,Tien,ego,main/day3/Tien/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Tien_174600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY3_174500000,DAY3,17:46:00.000,Werner,ego,main/day3/Werner/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Werner_174600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY3_174500000,DAY3,17:46:00.000,Kitchen,static,main/day3/Kitchen/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Kitchen_174600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY3_174500000,DAY3,17:46:00.000,Living1,static,main/day3/Living1/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Living1_174600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY3_174500000,DAY3,17:46:00.000,Living2,static,main/day3/Living2/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Living2_174600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY3_174500000,DAY3,17:46:00.000,Meeting,static,main/day3/Meeting/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Meeting_174600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY3_174500000,DAY3,17:46:00.000,Reading,static,main/day3/Reading/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Reading_174600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
