window_id,day,clock_time,querying_user,method,selected_entities,selected_video_paths,selected_frame_paths,num_views_used
DAY4_120500000,DAY4,12:06:00.000,Allie,self + MMR incremental other ego,Allie;Bao,main/day4/Allie/video/12.mp4;main/day4/Bao/video/12.mp4,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Allie_120600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Bao_120600000.jpg,2
DAY4_120500000,DAY4,12:06:00.000,Allie,self + best static,Allie;Meeting,main/day4/Allie/video/12.mp4;main/day4/Meeting/video/12.mp4,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Allie_120600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Meeting_120600000.jpg,2
DAY4_120500000,DAY4,12:06:00.000,Allie,all active views,Allie;Bao;Bjorn;Cathal;Florian;Klaus;Luca;Onanong;Stevan;Werner;Kitchen;Living1;Living2;Meeting;Reading,main/day4/Allie/video/12.mp4;main/day4/Bao/video/12.mp4;main/day4/Bjorn/video/12.mp4;main/day4/Cathal/video/12.mp4;main/day4/Florian/video/12.mp4;main/day4/Klaus/video/12.mp4;main/day4/Luca/video/12.mp4;main/day4/Onanong/video/12.mp4;main/day4/Stevan/video/12.mp4;main/day4/Werner/video/12.mp4;main/day4/Kitchen/video/12.mp4;main/day4/Living1/video/12.mp4;main/day4/Living2/video/12.mp4;main/day4/Meeting/video/12.mp4;main/day4/Reading/video/12.mp4,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Allie_120600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Bao_120600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Bjorn_120600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Cathal_120600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Florian_120600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Klaus_120600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Luca_120600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Onanong_120600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Stevan_120600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Werner_120600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Kitchen_120600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Living1_120600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Living2_120600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Meeting_120600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Reading_120600000.jpg,15
DAY4_120500000,DAY4,12:06:00.000,Allie,oracle views,Allie,main/day4/Allie/video/12.mp4,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Allie_120600000.jpg,1
DAY3_174500000,DAY3,17:46:00.000,Allie,self-only,Allie,main/day3/Allie/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Allie_174600000.jpg,1
DAY3_174500000,DAY3,17:46:00.000,Allie,self + random other ego,Allie;Luca,main/day3/Allie/video/17.mp4;main/day3/Luca/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Allie_174600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Luca_174600000.jpg,2
DAY3_174500000,DAY3,17:46:00.000,Allie,self + most CLIP-similar other ego,Allie;Bjorn,main/day3/Allie/video/17.mp4;main/day3/Bjorn/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Allie_174600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Bjorn_174600000.jpg,2
DAY3_174500000,DAY3,17:46:00.000,Allie,self + MMR incremental other ego,Allie;Bjorn,main/day3/Allie/video/17.mp4;main/day3/Bjorn/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Allie_174600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Bjorn_174600000.jpg,2
DAY3_174500000,DAY3,17:46:00.000,Allie,self + best static,Allie;Meeting,main/day3/Allie/video/17.mp4;main/day3/Meeting/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Allie_174600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Meeting_174600000.jpg,2
DAY3_174500000,DAY3,17:46:00.000,Allie,all active views,Allie;Bjorn;Cathal;Florian;Klaus;Luca;Onanong;Stevan;Tien;Werner;Kitchen;Living1;Living2;Meeting;Reading,main/day3/Allie/video/17.mp4;main/day3/Bjorn/video/17.mp4;main/day3/Cathal/video/17.mp4;main/day3/Florian/video/17.mp4;main/day3/Klaus/video/17.mp4;main/day3/Luca/video/17.mp4;main/day3/Onanong/video/17.mp4;main/day3/Stevan/video/17.mp4;main/day3/Tien/video/17.mp4;main/day3/Werner/video/17.mp4;main/day3/Kitchen/video/17.mp4;main/day3/Living1/video/17.mp4;main/day3/Living2/video/17.mp4;main/day3/Meeting/video/17.mp4;main/day3/Reading/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Allie_174600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Bjorn_174600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Cathal_174600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Florian_174600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Klaus_174600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Luca_174600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Onanong_174600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Stevan_174600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Tien_174600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Werner_174600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Kitchen_174600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Living1_174600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Living2_174600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Meeting_174600000.jpg;castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Reading_174600000.jpg,15
DAY3_174500000,DAY3,17:46:00.000,Allie,oracle views,Allie,main/day3/Allie/video/17.mp4,castle_incremental_qa_poc_conda3/frames/DAY3_174500000/overview/Allie_174600000.jpg,1
