question_id,parse_status,context_type,parsed_context_count,context_day,context_start,context_end,context_start_hms,context_end_hms,agents_in_context,agents_count,parsed_contexts_json,raw_contexts_json
10,ok,dict,1,1,62400.0,62700.0,17:20:00.00,17:25:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 1, ""end_time"": 62700.0, ""raw"": ""DAY1_17200000_17250000"", ""start_time"": 62400.0}]","{""DAY1_17200000_17250000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
11,ok,dict,1,1,63300.0,63600.0,17:35:00.00,17:40:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 1, ""end_time"": 63600.0, ""raw"": ""DAY1_17350000_17400000"", ""start_time"": 63300.0}]","{""DAY1_17350000_17400000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
12,ok,dict,1,1,63600.0,63900.0,17:40:00.00,17:45:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 1, ""end_time"": 63900.0, ""raw"": ""DAY1_17400000_17450000"", ""start_time"": 63600.0}]","{""DAY1_17400000_17450000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
13,ok,dict,1,1,63900.0,64200.0,17:45:00.00,17:50:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 1, ""end_time"": 64200.0, ""raw"": ""DAY1_17450000_17500000"", ""start_time"": 63900.0}]","{""DAY1_17450000_17500000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
14,ok,dict,1,1,64200.0,64500.0,17:50:00.00,17:55:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 1, ""end_time"": 64500.0, ""raw"": ""DAY1_17500000_17550000"", ""start_time"": 64200.0}]","{""DAY1_17500000_17550000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
15,ok,dict,1,1,64500.0,64800.0,17:55:00.00,18:00:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 1, ""end_time"": 64800.0, ""raw"": ""DAY1_17550000_18000000"", ""start_time"": 64500.0}]","{""DAY1_17550000_18000000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
16,ok,dict,1,1,65400.0,65700.0,18:10:00.00,18:15:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 1, ""end_time"": 65700.0, ""raw"": ""DAY1_18100000_18150000"", ""start_time"": 65400.0}]","{""DAY1_18100000_18150000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
17,ok,dict,1,1,66900.0,67200.0,18:35:00.00,18:40:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 1, ""end_time"": 67200.0, ""raw"": ""DAY1_18350000_18400000"", ""start_time"": 66900.0}]","{""DAY1_18350000_18400000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
18,ok,dict,1,1,67200.0,67500.0,18:40:00.00,18:45:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 1, ""end_time"": 67500.0, ""raw"": ""DAY1_18400000_18450000"", ""start_time"": 67200.0}]","{""DAY1_18400000_18450000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
19,ok,dict,1,1,67200.0,67500.0,18:40:00.00,18:45:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 1, ""end_time"": 67500.0, ""raw"": ""DAY1_18400000_18450000"", ""start_time"": 67200.0}]","{""DAY1_18400000_18450000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
20,ok,dict,1,1,69900.0,70200.0,19:25:00.00,19:30:00.00,Jake;Alice;Tasha;Lucia;Katrina,5,"[{""day"": 1, ""end_time"": 70200.0, ""raw"": ""DAY1_19250000_19300000"", ""start_time"": 69900.0}]","{""DAY1_19250000_19300000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
21,ok,dict,1,1,70500.0,70800.0,19:35:00.00,19:40:00.00,Jake;Alice;Tasha;Lucia;Katrina,5,"[{""day"": 1, ""end_time"": 70800.0, ""raw"": ""DAY1_19350000_19400000"", ""start_time"": 70500.0}]","{""DAY1_19350000_19400000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
22,ok,dict,1,1,70500.0,70800.0,19:35:00.00,19:40:00.00,Jake;Alice;Tasha;Lucia;Katrina,5,"[{""day"": 1, ""end_time"": 70800.0, ""raw"": ""DAY1_19350000_19400000"", ""start_time"": 70500.0}]","{""DAY1_19350000_19400000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
23,ok,dict,1,1,70500.0,70800.0,19:35:00.00,19:40:00.00,Jake;Alice;Tasha;Lucia;Katrina,5,"[{""day"": 1, ""end_time"": 70800.0, ""raw"": ""DAY1_19350000_19400000"", ""start_time"": 70500.0}]","{""DAY1_19350000_19400000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
24,ok,dict,1,1,71100.0,71400.0,19:45:00.00,19:50:00.00,Jake;Alice;Tasha;Lucia;Katrina,5,"[{""day"": 1, ""end_time"": 71400.0, ""raw"": ""DAY1_19450000_19500000"", ""start_time"": 71100.0}]","{""DAY1_19450000_19500000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
25,ok,dict,1,1,71100.0,71400.0,19:45:00.00,19:50:00.00,Jake;Alice;Tasha;Lucia;Katrina,5,"[{""day"": 1, ""end_time"": 71400.0, ""raw"": ""DAY1_19450000_19500000"", ""start_time"": 71100.0}]","{""DAY1_19450000_19500000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
26,ok,dict,1,1,71700.0,72000.0,19:55:00.00,20:00:00.00,Jake;Alice;Tasha;Lucia;Katrina,5,"[{""day"": 1, ""end_time"": 72000.0, ""raw"": ""DAY1_19550000_20000000"", ""start_time"": 71700.0}]","{""DAY1_19550000_20000000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
27,ok,dict,1,1,72300.0,72600.0,20:05:00.00,20:10:00.00,Jake;Alice;Tasha;Lucia;Katrina,5,"[{""day"": 1, ""end_time"": 72600.0, ""raw"": ""DAY1_20050000_20100000"", ""start_time"": 72300.0}]","{""DAY1_20050000_20100000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
28,ok,dict,1,1,72900.0,73200.0,20:15:00.00,20:20:00.00,Alice;Tasha;Lucia;Katrina,4,"[{""day"": 1, ""end_time"": 73200.0, ""raw"": ""DAY1_20150000_20200000"", ""start_time"": 72900.0}]","{""DAY1_20150000_20200000"": [""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
29,ok,dict,1,1,73500.0,73800.0,20:25:00.00,20:30:00.00,Jake;Alice;Tasha;Lucia;Katrina,5,"[{""day"": 1, ""end_time"": 73800.0, ""raw"": ""DAY1_20250000_20300000"", ""start_time"": 73500.0}]","{""DAY1_20250000_20300000"": [""JAKE"", ""ALICE"", ""TASHA"", ""KATRINA""]}"
30,ok,dict,1,1,73800.0,74100.0,20:30:00.00,20:35:00.00,Jake;Alice;Tasha;Katrina,4,"[{""day"": 1, ""end_time"": 74100.0, ""raw"": ""DAY1_20300000_20350000"", ""start_time"": 73800.0}]","{""DAY1_20300000_20350000"": [""JAKE"", ""ALICE"", ""TASHA"", ""KATRINA""]}"
31,ok,dict,1,1,74700.0,75000.0,20:45:00.00,20:50:00.00,Jake;Tasha;Lucia;Katrina,4,"[{""day"": 1, ""end_time"": 75000.0, ""raw"": ""DAY1_20450000_20500000"", ""start_time"": 74700.0}]","{""DAY1_20450000_20500000"": [""JAKE"", ""TASHA"", ""KATRINA""]}"
32,ok,dict,1,1,76500.0,76800.0,21:15:00.00,21:20:00.00,Lucia;Katrina;Shure,3,"[{""day"": 1, ""end_time"": 76800.0, ""raw"": ""DAY1_21150000_21200000"", ""start_time"": 76500.0}]","{""DAY1_21150000_21200000"": [""LUCIA"", ""SHURE""]}"
33,ok,dict,1,1,76800.0,77100.0,21:20:00.00,21:25:00.00,Lucia;Shure,2,"[{""day"": 1, ""end_time"": 77100.0, ""raw"": ""DAY1_21200000_21250000"", ""start_time"": 76800.0}]","{""DAY1_21200000_21250000"": [""LUCIA"", ""SHURE""]}"
34,ok,dict,1,1,76800.0,77100.0,21:20:00.00,21:25:00.00,Lucia;Shure,2,"[{""day"": 1, ""end_time"": 77100.0, ""raw"": ""DAY1_21200000_21250000"", ""start_time"": 76800.0}]","{""DAY1_21200000_21250000"": [""LUCIA"", ""SHURE""]}"
35,ok,dict,1,1,76800.0,77100.0,21:20:00.00,21:25:00.00,Lucia;Shure,2,"[{""day"": 1, ""end_time"": 77100.0, ""raw"": ""DAY1_21200000_21250000"", ""start_time"": 76800.0}]","{""DAY1_21200000_21250000"": [""LUCIA"", ""SHURE""]}"
36,ok,dict,1,1,78000.0,78300.0,21:40:00.00,21:45:00.00,Jake;Alice;Lucia;Katrina;Shure,5,"[{""day"": 1, ""end_time"": 78300.0, ""raw"": ""DAY1_21400000_21450000"", ""start_time"": 78000.0}]","{""DAY1_21400000_21450000"": [""JAKE"", ""ALICE"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
37,ok,dict,1,1,78300.0,78600.0,21:45:00.00,21:50:00.00,Jake;Alice;Lucia;Katrina;Shure,5,"[{""day"": 1, ""end_time"": 78600.0, ""raw"": ""DAY1_21450000_21500000"", ""start_time"": 78300.0}]","{""DAY1_21450000_21500000"": [""JAKE"", ""ALICE"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
38,ok,dict,1,1,78300.0,78600.0,21:45:00.00,21:50:00.00,Jake;Alice;Lucia;Katrina;Shure,5,"[{""day"": 1, ""end_time"": 78600.0, ""raw"": ""DAY1_21450000_21500000"", ""start_time"": 78300.0}]","{""DAY1_21450000_21500000"": [""JAKE"", ""ALICE"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
39,ok,dict,1,1,79200.0,79500.0,22:00:00.00,22:05:00.00,Jake;Alice;Lucia;Katrina;Shure,5,"[{""day"": 1, ""end_time"": 79500.0, ""raw"": ""DAY1_22000000_22050000"", ""start_time"": 79200.0}]","{""DAY1_22000000_22050000"": [""JAKE"", ""ALICE"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
40,ok,dict,1,1,79500.0,79800.0,22:05:00.00,22:10:00.00,Jake;Shure,2,"[{""day"": 1, ""end_time"": 79800.0, ""raw"": ""DAY1_22050000_22100000"", ""start_time"": 79500.0}]","{""DAY1_22050000_22100000"": [""JAKE"", ""SHURE""]}"
41,ok,dict,1,1,79500.0,79800.0,22:05:00.00,22:10:00.00,Jake;Katrina;Shure,3,"[{""day"": 1, ""end_time"": 79800.0, ""raw"": ""DAY1_22050000_22100000"", ""start_time"": 79500.0}]","{""DAY1_22050000_22100000"": [""JAKE"", ""SHURE""]}"
42,ok,dict,1,1,79500.0,79800.0,22:05:00.00,22:10:00.00,Jake;Shure,2,"[{""day"": 1, ""end_time"": 79800.0, ""raw"": ""DAY1_22050000_22100000"", ""start_time"": 79500.0}]","{""DAY1_22050000_22100000"": [""JAKE"", ""SHURE""]}"
43,ok,dict,1,1,79500.0,79800.0,22:05:00.00,22:10:00.00,Jake;Shure,2,"[{""day"": 1, ""end_time"": 79800.0, ""raw"": ""DAY1_22050000_22100000"", ""start_time"": 79500.0}]","{""DAY1_22050000_22100000"": [""JAKE"", ""SHURE""]}"
44,ok,dict,1,2,38400.0,38700.0,10:40:00.00,10:45:00.00,Jake;Alice;Tasha;Lucia;Katrina,5,"[{""day"": 2, ""end_time"": 38700.0, ""raw"": ""DAY2_10400000_10450000"", ""start_time"": 38400.0}]","{""DAY2_10400000_10450000"": [""JAKE"", ""ALICE"", ""TASHA"", ""KATRINA""]}"
45,ok,dict,1,2,40500.0,40800.0,11:15:00.00,11:20:00.00,Jake;Alice;Tasha;Lucia;Katrina,5,"[{""day"": 2, ""end_time"": 40800.0, ""raw"": ""DAY2_11150000_11200000"", ""start_time"": 40500.0}]","{""DAY2_11150000_11200000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
46,ok,dict,1,2,40500.0,40800.0,11:15:00.00,11:20:00.00,Jake;Alice;Tasha;Lucia;Katrina,5,"[{""day"": 2, ""end_time"": 40800.0, ""raw"": ""DAY2_11150000_11200000"", ""start_time"": 40500.0}]","{""DAY2_11150000_11200000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
47,ok,dict,1,2,41700.0,42000.0,11:35:00.00,11:40:00.00,Jake;Alice;Tasha;Katrina,4,"[{""day"": 2, ""end_time"": 42000.0, ""raw"": ""DAY2_11350000_11400000"", ""start_time"": 41700.0}]","{""DAY2_11350000_11400000"": [""JAKE"", ""ALICE"", ""TASHA"", ""KATRINA""]}"
48,ok,dict,1,2,42300.0,42600.0,11:45:00.00,11:50:00.00,Jake;Alice;Tasha;Lucia;Katrina,5,"[{""day"": 2, ""end_time"": 42600.0, ""raw"": ""DAY2_11450000_11500000"", ""start_time"": 42300.0}]","{""DAY2_11450000_11500000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
49,ok,dict,1,2,42900.0,43200.0,11:55:00.00,12:00:00.00,Jake;Alice;Tasha;Lucia;Katrina,5,"[{""day"": 2, ""end_time"": 43200.0, ""raw"": ""DAY2_11550000_12000000"", ""start_time"": 42900.0}]","{""DAY2_11550000_12000000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
50,ok,dict,1,2,43800.0,44100.0,12:10:00.00,12:15:00.00,Lucia;Katrina,2,"[{""day"": 2, ""end_time"": 44100.0, ""raw"": ""DAY2_12100000_12150000"", ""start_time"": 43800.0}]","{""DAY2_12100000_12150000"": [""LUCIA"", ""KATRINA""]}"
51,ok,dict,1,2,43800.0,44100.0,12:10:00.00,12:15:00.00,Jake;Lucia;Katrina,3,"[{""day"": 2, ""end_time"": 44100.0, ""raw"": ""DAY2_12100000_12150000"", ""start_time"": 43800.0}]","{""DAY2_12100000_12150000"": [""LUCIA"", ""KATRINA""]}"
52,ok,dict,1,2,47400.0,47700.0,13:10:00.00,13:15:00.00,Jake;Alice;Tasha;Lucia;Katrina,5,"[{""day"": 2, ""end_time"": 47700.0, ""raw"": ""DAY2_13100000_13150000"", ""start_time"": 47400.0}]","{""DAY2_13100000_13150000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA""]}"
53,ok,dict,1,2,55200.0,55500.0,15:20:00.00,15:25:00.00,Katrina,1,"[{""day"": 2, ""end_time"": 55500.0, ""raw"": ""DAY2_15200000_15250000"", ""start_time"": 55200.0}]","{""DAY2_15200000_15250000"": [""KATRINA""]}"
54,ok,dict,1,2,55500.0,55800.0,15:25:00.00,15:30:00.00,Jake;Alice;Katrina;Shure,4,"[{""day"": 2, ""end_time"": 55800.0, ""raw"": ""DAY2_15250000_15300000"", ""start_time"": 55500.0}]","{""DAY2_15250000_15300000"": [""ALICE"", ""KATRINA"", ""SHURE""]}"
55,ok,dict,1,2,56400.0,56700.0,15:40:00.00,15:45:00.00,Alice;Tasha;Lucia;Katrina;Shure,5,"[{""day"": 2, ""end_time"": 56700.0, ""raw"": ""DAY2_15400000_15450000"", ""start_time"": 56400.0}]","{""DAY2_15400000_15450000"": [""ALICE"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
56,ok,dict,1,2,56400.0,56700.0,15:40:00.00,15:45:00.00,Jake;Alice;Lucia;Katrina;Shure,5,"[{""day"": 2, ""end_time"": 56700.0, ""raw"": ""DAY2_15400000_15450000"", ""start_time"": 56400.0}]","{""DAY2_15400000_15450000"": [""ALICE"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
57,ok,dict,1,2,56400.0,56700.0,15:40:00.00,15:45:00.00,Alice;Lucia;Katrina;Shure,4,"[{""day"": 2, ""end_time"": 56700.0, ""raw"": ""DAY2_15400000_15450000"", ""start_time"": 56400.0}]","{""DAY2_15400000_15450000"": [""ALICE"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
58,ok,dict,1,2,57000.0,57300.0,15:50:00.00,15:55:00.00,Jake;Alice;Lucia;Katrina;Shure,5,"[{""day"": 2, ""end_time"": 57300.0, ""raw"": ""DAY2_15500000_15550000"", ""start_time"": 57000.0}]","{""DAY2_15500000_15550000"": [""JAKE"", ""ALICE"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
59,ok,dict,1,2,57300.0,57600.0,15:55:00.00,16:00:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 2, ""end_time"": 57600.0, ""raw"": ""DAY2_15550000_16000000"", ""start_time"": 57300.0}]","{""DAY2_15550000_16000000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
60,ok,dict,1,2,58200.0,58500.0,16:10:00.00,16:15:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 2, ""end_time"": 58500.0, ""raw"": ""DAY2_16100000_16150000"", ""start_time"": 58200.0}]","{""DAY2_16100000_16150000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
61,ok,dict,1,2,58800.0,59100.0,16:20:00.00,16:25:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 2, ""end_time"": 59100.0, ""raw"": ""DAY2_16200000_16250000"", ""start_time"": 58800.0}]","{""DAY2_16200000_16250000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
62,ok,dict,1,2,59100.0,59400.0,16:25:00.00,16:30:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 2, ""end_time"": 59400.0, ""raw"": ""DAY2_16250000_16300000"", ""start_time"": 59100.0}]","{""DAY2_16250000_16300000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
63,ok,dict,1,2,60300.0,60600.0,16:45:00.00,16:50:00.00,Jake;Alice;Tasha;Lucia;Shure,5,"[{""day"": 2, ""end_time"": 60600.0, ""raw"": ""DAY2_16450000_16500000"", ""start_time"": 60300.0}]","{""DAY2_16450000_16500000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""SHURE""]}"
64,ok,dict,1,2,62400.0,62700.0,17:20:00.00,17:25:00.00,Jake;Alice;Lucia;Katrina;Shure,5,"[{""day"": 2, ""end_time"": 62700.0, ""raw"": ""DAY2_17200000_17250000"", ""start_time"": 62400.0}]","{""DAY2_17200000_17250000"": [""JAKE"", ""ALICE"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
65,ok,dict,1,2,64800.0,65100.0,18:00:00.00,18:05:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 2, ""end_time"": 65100.0, ""raw"": ""DAY2_18000000_18050000"", ""start_time"": 64800.0}]","{""DAY2_18000000_18050000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
66,ok,dict,1,2,65100.0,65400.0,18:05:00.00,18:10:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 2, ""end_time"": 65400.0, ""raw"": ""DAY2_18050000_18100000"", ""start_time"": 65100.0}]","{""DAY2_18050000_18100000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
67,ok,dict,1,2,65400.0,65700.0,18:10:00.00,18:15:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 2, ""end_time"": 65700.0, ""raw"": ""DAY2_18100000_18150000"", ""start_time"": 65400.0}]","{""DAY2_18100000_18150000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
68,ok,dict,1,2,65700.0,66000.0,18:15:00.00,18:20:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 2, ""end_time"": 66000.0, ""raw"": ""DAY2_18150000_18200000"", ""start_time"": 65700.0}]","{""DAY2_18150000_18200000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""SHURE""]}"
69,ok,dict,1,2,65700.0,66000.0,18:15:00.00,18:20:00.00,Jake;Alice;Tasha;Lucia;Shure,5,"[{""day"": 2, ""end_time"": 66000.0, ""raw"": ""DAY2_18150000_18200000"", ""start_time"": 65700.0}]","{""DAY2_18150000_18200000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""SHURE""]}"
70,ok,dict,1,2,66900.0,67200.0,18:35:00.00,18:40:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 2, ""end_time"": 67200.0, ""raw"": ""DAY2_18350000_18400000"", ""start_time"": 66900.0}]","{""DAY2_18350000_18400000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""SHURE""]}"
71,ok,dict,1,2,66900.0,67200.0,18:35:00.00,18:40:00.00,Jake;Alice;Tasha;Lucia;Shure,5,"[{""day"": 2, ""end_time"": 67200.0, ""raw"": ""DAY2_18350000_18400000"", ""start_time"": 66900.0}]","{""DAY2_18350000_18400000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""SHURE""]}"
72,ok,dict,1,2,77700.0,78000.0,21:35:00.00,21:40:00.00,Jake;Alice;Tasha;Lucia;Katrina,5,"[{""day"": 2, ""end_time"": 78000.0, ""raw"": ""DAY2_21350000_21400000"", ""start_time"": 77700.0}]","{""DAY2_21350000_21400000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
73,ok,dict,1,2,79800.0,80100.0,22:10:00.00,22:15:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 2, ""end_time"": 80100.0, ""raw"": ""DAY2_22100000_22150000"", ""start_time"": 79800.0}]","{""DAY2_22100000_22150000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
74,ok,dict,1,2,80100.0,80400.0,22:15:00.00,22:20:00.00,Alice;Lucia;Katrina;Shure,4,"[{""day"": 2, ""end_time"": 80400.0, ""raw"": ""DAY2_22150000_22200000"", ""start_time"": 80100.0}]","{""DAY2_22150000_22200000"": [""ALICE"", ""LUCIA"", ""SHURE""]}"
75,ok,dict,1,2,80100.0,80400.0,22:15:00.00,22:20:00.00,Alice;Lucia;Katrina;Shure,4,"[{""day"": 2, ""end_time"": 80400.0, ""raw"": ""DAY2_22150000_22200000"", ""start_time"": 80100.0}]","{""DAY2_22150000_22200000"": [""ALICE"", ""LUCIA"", ""SHURE""]}"
76,ok,dict,1,2,80100.0,80400.0,22:15:00.00,22:20:00.00,Alice;Lucia;Shure,3,"[{""day"": 2, ""end_time"": 80400.0, ""raw"": ""DAY2_22150000_22200000"", ""start_time"": 80100.0}]","{""DAY2_22150000_22200000"": [""ALICE"", ""LUCIA"", ""SHURE""]}"
